chunk_id,doc_id,domain,chunk_index,estimated_tokens,chunk_text
C00001,DOC0001,support_faq,0,93,"This is a middle section taken from a customer support knowledge base article. This opening section of 'Troubleshooting and Ticket support guide (Global, 2022)' explains how to ticket when users face troubleshooting issues. It walks through the steps that agents follow in the internal help center, highlighting common failure modes and when to escalate a ticket to second‑line support. The examples are written in plain language so non-technical staff can resolve incidents quickly."
C00002,DOC0001,support_faq,1,93,"The following text comes from a support FAQ article used in a help center. This part of 'Troubleshooting and Ticket support guide (Global, 2022)' explains how to troubleshooting when users face ticket issues. It walks through the steps that agents follow in the internal help center, highlighting common failure modes and when to escalate a ticket to second‑line support. The examples are written in plain language so non-technical staff can resolve incidents quickly."
C00003,DOC0001,support_faq,2,92,"This is a middle section taken from a customer support knowledge base article. This part of 'Troubleshooting and Ticket support guide (Global, 2022)' explains how to ticket when users face steps issues. It walks through the steps that agents follow in the internal help center, highlighting common failure modes and when to escalate a ticket to second‑line support. The examples are written in plain language so non-technical staff can resolve incidents quickly."
C00004,DOC0001,support_faq,3,93,"The following mid-section comes from a customer support knowledge base article. In this section of 'Troubleshooting and Ticket support guide (Global, 2022)' explains how to ticket when users face troubleshooting issues. It walks through the steps that agents follow in the internal help center, highlighting common failure modes and when to escalate a ticket to second‑line support. The examples are written in plain language so non-technical staff can resolve incidents quickly."
C00005,DOC0001,support_faq,4,93,"The following mid-section comes from a customer support knowledge base article. In this section of 'Troubleshooting and Ticket support guide (Global, 2022)' explains how to steps when users face reset issues. It walks through the steps that agents follow in the internal help center, highlighting common failure modes and when to escalate a ticket to second‑line support. The examples are written in plain language so non-technical staff can resolve incidents quickly."
C00006,DOC0001,support_faq,5,92,"Here are a few paragraphs from a practical troubleshooting FAQ. In this section of 'Troubleshooting and Ticket support guide (Global, 2022)' explains how to troubleshooting when users face ticket issues. It walks through the steps that agents follow in the internal help center, highlighting common failure modes and when to escalate a ticket to second‑line support. The examples are written in plain language so non-technical staff can resolve incidents quickly."
C00007,DOC0001,support_faq,6,93,"This is a middle section taken from a customer support knowledge base article. In this section of 'Troubleshooting and Ticket support guide (Global, 2022)' explains how to troubleshooting when users face reset issues. It walks through the steps that agents follow in the internal help center, highlighting common failure modes and when to escalate a ticket to second‑line support. The examples are written in plain language so non-technical staff can resolve incidents quickly."
C00008,DOC0001,support_faq,7,92,"Below are a few paragraphs from a practical troubleshooting FAQ. In this section of 'Troubleshooting and Ticket support guide (Global, 2022)' explains how to ticket when users face reset issues. It walks through the steps that agents follow in the internal help center, highlighting common failure modes and when to escalate a ticket to second‑line support. The examples are written in plain language so non-technical staff can resolve incidents quickly."
C00009,DOC0001,support_faq,8,95,"Here is material from a support FAQ article used in a help center. In this section of 'Troubleshooting and Ticket support guide (Global, 2022)' explains how to ticket when users face steps issues. It walks through the steps that agents follow in the internal help center, highlighting common failure modes and when to escalate a ticket to second‑line support. The examples are written in plain language so non-technical staff can resolve incidents quickly."
C00010,DOC0001,support_faq,9,93,"Here is a mid-section excerpt from a customer support knowledge base article. In this section of 'Troubleshooting and Ticket support guide (Global, 2022)' explains how to reset when users face ticket issues. It walks through the steps that agents follow in the internal help center, highlighting common failure modes and when to escalate a ticket to second‑line support. The examples are written in plain language so non-technical staff can resolve incidents quickly."
