doc_id,domain,title,source_type,language,n_sections,n_tokens,n_chunks,avg_chunk_tokens,created_at_utc,last_updated_at_utc,is_active,contains_tables,pii_risk_level,security_tier,embedding_model,owner_team,search_index,top_keywords
DOC0001,support_faq,"Troubleshooting and Ticket support guide (Global, 2022)",spreadsheet,en,24,1021,11,92.82,2024-06-09T00:00:00Z,2024-07-05T00:00:00Z,1,0,none,internal,all-minilm-l12-v2,legal,research_index_v1,"ticket, steps, reset, troubleshooting"
DOC0002,policies,"Company policy on terms and policy (Global, 2022)",pdf_manual,en,6,313,4,78.25,2024-04-22T00:00:00Z,2024-06-28T00:00:00Z,1,1,none,restricted,gte-large,product,research_index_v1,"privacy, compliance, terms, policy"
DOC0003,developer_docs,Service-to-service auth and response — engineering guide 2023,internal_doc,en,17,584,7,83.43,2024-05-15T00:00:00Z,2024-09-21T00:00:00Z,1,1,low,restricted,gte-large,support,policy_index_v1,"endpoint, api, response, authentication"
DOC0004,product_docs,Product configuration guide — Pricing and Features,spreadsheet,en,11,496,6,82.67,2024-03-21T00:00:00Z,2024-07-26T00:00:00Z,1,1,none,restricted,text-embedding-3-small,marketing,research_index_v1,"pricing, features, plan, limits"
DOC0005,research_papers,Experimental study: Methodology in production systems,policy_file,en,3,223,3,74.33,2024-01-22T00:00:00Z,2024-04-15T00:00:00Z,1,1,none,internal,text-embedding-3-small,data,policy_index_v1,"limitation, methodology, dataset, baseline"
DOC0006,policies,"Company policy on terms and compliance (AMER, 2023)",pdf_manual,en,5,230,3,76.67,2024-06-21T00:00:00Z,2024-12-03T00:00:00Z,1,0,none,internal,gte-large,product,global_qa_index_v1,"terms, compliance, policy, privacy"
DOC0007,support_faq,Support playbook: handling ticket and reset tickets (2019),internal_doc,en,17,1702,18,94.56,2024-02-02T00:00:00Z,2024-07-22T00:00:00Z,1,0,medium,public,text-embedding-3-large,legal,global_qa_index_v1,"ticket, steps, reset, troubleshooting"
DOC0008,medical_guides,Treatment protocol overview — Monitoring (Global),internal_doc,en,11,460,6,76.67,2024-07-31T00:00:00Z,2024-10-12T00:00:00Z,1,0,medium,public,text-embedding-3-large,hr,research_index_v1,"symptoms, side effects, monitoring, dosage"
DOC0009,hr_policies,People operations handbook — Performance & Leave (2022),notebook,en,7,541,7,77.29,2024-12-17T00:00:00Z,2025-06-08T00:00:00Z,1,0,low,restricted,gte-large,engineering,global_qa_index_v1,"performance, leave, contract, benefits"
DOC0010,financial_reports,Business performance review — Q3 2021,internal_doc,en,21,779,11,70.82,2024-09-06T00:00:00Z,2024-09-24T00:00:00Z,1,1,none,internal,text-embedding-3-small,support,global_qa_index_v1,"cost, forecast, margin, segment"
DOC0011,support_faq,"Issue and Reset support guide (EMEA, 2019)",pdf_manual,en,16,1299,14,92.79,2024-07-01T00:00:00Z,2024-08-27T00:00:00Z,1,1,low,internal,text-embedding-3-small,finance,product_index_v2,"troubleshooting, issue, ticket, reset"
DOC0012,support_faq,"Steps and Reset support guide (EMEA, 2020)",notebook,en,9,469,5,93.8,2024-02-23T00:00:00Z,2024-05-27T00:00:00Z,1,0,none,internal,text-embedding-3-large,support,product_index_v2,"reset, troubleshooting, ticket, steps"
DOC0013,developer_docs,Service-to-service auth and endpoint — engineering guide 2022,pdf_manual,en,10,496,6,82.67,2024-07-19T00:00:00Z,2025-01-01T00:00:00Z,1,1,none,internal,gte-large,marketing,global_qa_index_v1,"endpoint, response, request, api"
DOC0014,support_faq,"Troubleshooting and Issue support guide (AMER, 2019)",wiki_page,en,24,463,5,92.6,2024-10-03T00:00:00Z,2024-10-05T00:00:00Z,1,0,none,internal,text-embedding-3-small,engineering,research_index_v1,"issue, steps, reset, troubleshooting"
DOC0015,policies,"Company policy on terms and policy (Global, 2025)",pdf_manual,en,25,701,9,77.89,2024-12-21T00:00:00Z,2025-01-08T00:00:00Z,0,1,low,public,e5-mistral-7b,engineering,policy_index_v1,"policy, terms, usage, privacy"
DOC0016,product_docs,Feature reference: Pricing (2021 APAC rollout),policy_file,en,11,746,9,82.89,2024-12-02T00:00:00Z,2025-04-29T00:00:00Z,1,1,low,internal,e5-mistral-7b,finance,product_index_v2,"pricing, plan, features, subscription"
DOC0017,product_docs,Admin guide for features and advanced settings,wiki_page,en,10,416,5,83.2,2024-09-28T00:00:00Z,2024-10-11T00:00:00Z,1,1,none,highly_restricted,text-embedding-3-small,legal,product_index_v2,"pricing, features, limits, subscription"
